"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.2913,-0.0044472,0,0,1,0,15,0,0.5
0.29621,-0.0045238,1.5448e-23,0,1,0.01,15,0.01,0.5
0.30113,-0.0046005,3.0896e-23,0,1,0.02,15,0.02,0.5
0.30605,-0.0046772,4.6344e-23,0,1,0.03,15,0.03,0.5
0.31096,-0.0047538,6.1791e-23,0,1,0.04,15,0.04,0.5
0.31588,-0.0048305,7.7239e-23,0,1,0.05,15,0.05,0.5
0.3208,-0.0049072,9.2687e-23,0,1,0.06,15,0.06,0.5
0.32572,-0.0049839,1.0813e-22,0,1,0.07,15,0.07,0.5
0.33063,-0.0050605,1.2358e-22,0,1,0.08,15,0.08,0.5
0.33555,-0.0051372,1.3903e-22,0,1,0.09,15,0.09,0.5
0.34047,-0.0052139,1.5448e-22,0,1,0.1,15,0.1,0.5
0.34538,-0.0052906,1.6993e-22,0,1,0.11,15,0.11,0.5
0.3503,-0.0053672,1.8537e-22,0,1,0.12,15,0.12,0.5
0.35522,-0.0054439,2.0082e-22,0,1,0.13,15,0.13,0.5
0.36014,-0.0055206,2.1627e-22,0,1,0.14,15,0.14,0.5
0.36505,-0.0055973,2.3172e-22,0,1,0.15,15,0.15,0.5
0.36997,-0.0056739,2.4717e-22,0,1,0.16,15,0.16,0.5
0.37489,-0.0057506,2.6261e-22,0,1,0.17,15,0.17,0.5
0.3798,-0.0058273,2.7806e-22,0,1,0.18,15,0.18,0.5
0.38472,-0.005904,2.9351e-22,0,1,0.19,15,0.19,0.5
0.38964,-0.0059806,3.0896e-22,0,1,0.2,15,0.2,0.5
0.39456,-0.0060573,3.244e-22,0,1,0.21,15,0.21,0.5
0.39947,-0.006134,3.3985e-22,0,1,0.22,15,0.22,0.5
0.40439,-0.0062107,3.553e-22,0,1,0.23,15,0.23,0.5
0.40931,-0.0062873,3.7075e-22,0,1,0.24,15,0.24,0.5
0.41423,-0.006364,3.862e-22,0,1,0.25,15,0.25,0.5
0.41914,-0.0064407,4.0164e-22,0,1,0.26,15,0.26,0.5
0.42406,-0.0065174,4.1709e-22,0,1,0.27,15,0.27,0.5
0.42898,-0.006594,4.3254e-22,0,1,0.28,15,0.28,0.5
0.43389,-0.0066707,4.4799e-22,0,1,0.29,15,0.29,0.5
0.43881,-0.0067474,4.6344e-22,0,1,0.3,15,0.3,0.5
0.44699,-0.0069195,4.6042e-22,0,1,0.31,15,0.31,0.5
0.45916,-0.0072083,4.3481e-22,0,1,0.32,15,0.32,0.5
0.47133,-0.0074971,4.0921e-22,0,1,0.33,15,0.33,0.5
0.48351,-0.0077859,3.8361e-22,0,1,0.34,15,0.34,0.5
0.49568,-0.0080747,3.5801e-22,0,1,0.35,15,0.35,0.5
0.50785,-0.0083635,3.324e-22,0,1,0.36,15,0.36,0.5
