"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.29005,0.0048104,2.9623e-21,0,1,0,15,0,0.5
0.29507,0.0049466,2.9146e-21,0,1,0.01,15,0.01,0.5
0.30009,0.0050828,2.8669e-21,0,1,0.02,15,0.02,0.5
0.3051,0.005219,2.8192e-21,0,1,0.03,15,0.03,0.5
0.31012,0.0053552,2.7715e-21,0,1,0.04,15,0.04,0.5
0.31514,0.0054914,2.7238e-21,0,1,0.05,15,0.05,0.5
0.32016,0.0056276,2.6761e-21,0,1,0.06,15,0.06,0.5
0.32518,0.0057638,2.6284e-21,0,1,0.07,15,0.07,0.5
0.3302,0.0059,2.5807e-21,0,1,0.08,15,0.08,0.5
0.33521,0.0060361,2.533e-21,0,1,0.09,15,0.09,0.5
0.34023,0.0061723,2.4853e-21,0,1,0.1,15,0.1,0.5
0.34525,0.0063085,2.4376e-21,0,1,0.11,15,0.11,0.5
0.35027,0.0064447,2.3898e-21,0,1,0.12,15,0.12,0.5
0.35529,0.0065809,2.3421e-21,0,1,0.13,15,0.13,0.5
0.36031,0.0067171,2.2944e-21,0,1,0.14,15,0.14,0.5
0.36532,0.0068533,2.2467e-21,0,1,0.15,15,0.15,0.5
0.37034,0.0069895,2.199e-21,0,1,0.16,15,0.16,0.5
0.37536,0.0071257,2.1513e-21,0,1,0.17,15,0.17,0.5
0.38038,0.0072618,2.1036e-21,0,1,0.18,15,0.18,0.5
0.3854,0.007398,2.0559e-21,0,1,0.19,15,0.19,0.5
0.39042,0.0075342,2.0082e-21,0,1,0.2,15,0.2,0.5
0.39543,0.0076704,1.9605e-21,0,1,0.21,15,0.21,0.5
0.40045,0.0078066,1.9128e-21,0,1,0.22,15,0.22,0.5
0.40547,0.0079428,1.8651e-21,0,1,0.23,15,0.23,0.5
0.41049,0.008079,1.8174e-21,0,1,0.24,15,0.24,0.5
0.41551,0.0082152,1.7697e-21,0,1,0.25,15,0.25,0.5
0.42053,0.0083514,1.722e-21,0,1,0.26,15,0.26,0.5
0.42554,0.0084876,1.6743e-21,0,1,0.27,15,0.27,0.5
0.43056,0.0086237,1.6266e-21,0,1,0.28,15,0.28,0.5
0.43558,0.0087599,1.5789e-21,0,1,0.29,15,0.29,0.5
0.4406,0.0088961,1.5312e-21,0,1,0.3,15,0.3,0.5
0.44562,0.0090323,1.4835e-21,0,1,0.31,15,0.31,0.5
