"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.29692,0.023817,-3.29e-21,0,1,0,15,0,0.5
0.3019,0.023465,-3.2146e-21,0,1,0.01,15,0.01,0.5
0.30689,0.023113,-3.1392e-21,0,1,0.02,15,0.02,0.5
0.31187,0.022761,-3.0639e-21,0,1,0.03,15,0.03,0.5
0.31686,0.022408,-2.9885e-21,0,1,0.04,15,0.04,0.5
0.32184,0.022056,-2.9131e-21,0,1,0.05,15,0.05,0.5
0.32683,0.021704,-2.8378e-21,0,1,0.06,15,0.06,0.5
0.33181,0.021352,-2.7624e-21,0,1,0.07,15,0.07,0.5
0.3368,0.021,-2.687e-21,0,1,0.08,15,0.08,0.5
0.34178,0.020647,-2.6117e-21,0,1,0.09,15,0.09,0.5
0.34677,0.020295,-2.5363e-21,0,1,0.1,15,0.1,0.5
0.35175,0.019943,-2.4609e-21,0,1,0.11,15,0.11,0.5
0.35673,0.019591,-2.3855e-21,0,1,0.12,15,0.12,0.5
0.36172,0.019239,-2.3102e-21,0,1,0.13,15,0.13,0.5
0.3667,0.018886,-2.2348e-21,0,1,0.14,15,0.14,0.5
0.37169,0.018534,-2.1594e-21,0,1,0.15,15,0.15,0.5
0.37667,0.018182,-2.0841e-21,0,1,0.16,15,0.16,0.5
0.38166,0.01783,-2.0087e-21,0,1,0.17,15,0.17,0.5
0.38664,0.017478,-1.9333e-21,0,1,0.18,15,0.18,0.5
0.39163,0.017125,-1.858e-21,0,1,0.19,15,0.19,0.5
0.39661,0.016773,-1.7826e-21,0,1,0.2,15,0.2,0.5
0.4016,0.016421,-1.7072e-21,0,1,0.21,15,0.21,0.5
0.40658,0.016069,-1.6319e-21,0,1,0.22,15,0.22,0.5
0.41156,0.015717,-1.5565e-21,0,1,0.23,15,0.23,0.5
0.41655,0.015364,-1.4811e-21,0,1,0.24,15,0.24,0.5
0.42153,0.015012,-1.4058e-21,0,1,0.25,15,0.25,0.5
0.42652,0.01466,-1.3304e-21,0,1,0.26,15,0.26,0.5
0.4315,0.014308,-1.255e-21,0,1,0.27,15,0.27,0.5
0.43649,0.013956,-1.1796e-21,0,1,0.28,15,0.28,0.5
0.44147,0.013603,-1.1043e-21,0,1,0.29,15,0.29,0.5
0.44646,0.013251,-1.0289e-21,0,1,0.3,15,0.3,0.5
0.45144,0.012899,-9.5354e-22,0,1,0.31,15,0.31,0.5
0.45643,0.012547,-8.7817e-22,0,1,0.32,15,0.32,0.5
0.46141,0.012195,-8.028e-22,0,1,0.33,15,0.33,0.5
0.47255,0.011366,-6.9966e-22,0,1,0.34,15,0.34,0.5
0.48645,0.010324,-5.8408e-22,0,1,0.35,15,0.35,0.5
0.50035,0.0092817,-4.6849e-22,0,1,0.36,15,0.36,0.5
0.51425,0.0082395,-3.5291e-22,0,1,0.37,15,0.37,0.5
0.52815,0.0071974,-2.3732e-22,0,1,0.38,15,0.38,0.5
0.54205,0.0061552,-1.2174e-22,0,1,0.39,15,0.39,0.5
0.55595,0.0051131,-6.1497e-24,0,1,0.4,15,0.4,0.5
0.56985,0.0040709,1.0944e-22,0,1,0.41,15,0.41,0.5
0.58375,0.0030287,2.2502e-22,0,1,0.42,15,0.42,0.5
0.59765,0.0019866,3.4061e-22,0,1,0.43,15,0.43,0.5
0.61155,0.00094442,4.5619e-22,0,1,0.44,15,0.44,0.5
0.62544,-9.7734e-05,5.7178e-22,0,1,0.45,15,0.45,0.5
0.63934,-0.0011399,6.8736e-22,0,1,0.46,15,0.46,0.5
0.65324,-0.0021821,8.0295e-22,0,1,0.47,15,0.47,0.5
0.66714,-0.0032242,9.1853e-22,0,1,0.48,15,0.48,0.5
0.67858,-0.0040731,8.6534e-22,0,1,0.49,15,0.49,0.5
0.68966,-0.0048942,7.8783e-22,0,1,0.5,15,0.5,0.5
0.70074,-0.0057153,7.1032e-22,0,1,0.51,15,0.51,0.5
0.71182,-0.0065364,6.3282e-22,0,1,0.52,15,0.52,0.5
0.7229,-0.0073575,5.5531e-22,0,1,0.53,15,0.53,0.5
0.73398,-0.0081786,4.778e-22,0,1,0.54,15,0.54,0.5
0.74506,-0.0089997,4.0029e-22,0,1,0.55,15,0.55,0.5
0.75614,-0.0098208,3.2279e-22,0,1,0.56,15,0.56,0.5
0.76707,-0.010601,2.4897e-22,0,1,0.57,15,0.57,0.5
0.77643,-0.01096,2.1353e-22,0,1,0.58,15,0.58,0.5
0.78579,-0.011318,1.7809e-22,0,1,0.59,15,0.59,0.5
0.79515,-0.011677,1.4265e-22,0,1,0.6,15,0.6,0.5
0.8045,-0.012035,1.0721e-22,0,1,0.61,15,0.61,0.5
0.81386,-0.012393,7.1768e-23,0,1,0.62,15,0.62,0.5
0.82322,-0.012752,3.6328e-23,0,1,0.63,15,0.63,0.5
0.83258,-0.01311,8.871e-25,0,1,0.64,15,0.64,0.5
0.84063,-0.013261,-2.8739e-24,0,1,0.65,15,0.65,0.5
0.84859,-0.013399,-4.6464e-24,0,1,0.66,15,0.66,0.5
0.85656,-0.013537,-6.4189e-24,0,1,0.67,15,0.67,0.5
0.86452,-0.013675,-8.1915e-24,0,1,0.68,15,0.68,0.5
0.87249,-0.013813,-9.964e-24,0,1,0.69,15,0.69,0.5
0.88045,-0.013951,-1.1736e-23,0,1,0.7,15,0.7,0.5
0.88842,-0.014089,-1.3509e-23,0,1,0.71,15,0.71,0.5
0.89574,-0.01419,-1.2192e-23,0,1,0.72,15,0.72,0.5
0.90291,-0.014281,-1.0074e-23,0,1,0.73,15,0.73,0.5
0.91007,-0.014372,-7.9564e-24,0,1,0.74,15,0.74,0.5
0.91723,-0.014463,-5.8385e-24,0,1,0.75,15,0.75,0.5
0.92439,-0.014554,-3.7207e-24,0,1,0.76,15,0.76,0.5
0.93155,-0.014644,-1.6028e-24,0,1,0.77,15,0.77,0.5
0.93872,-0.014735,5.1499e-25,0,1,0.78,15,0.78,0.5
0.94536,-0.014763,1.2138e-24,0,1,0.79,15,0.79,0.5
0.95171,-0.014756,1.1395e-24,0,1,0.8,15,0.8,0.5
0.95807,-0.01475,1.0651e-24,0,1,0.81,15,0.81,0.5
0.96442,-0.014743,9.9079e-25,0,1,0.82,15,0.82,0.5
0.97078,-0.014736,9.1646e-25,0,1,0.83,15,0.83,0.5
0.97713,-0.014729,8.4213e-25,0,1,0.84,15,0.84,0.5
0.98349,-0.014722,7.678e-25,0,1,0.85,15,0.85,0.5
0.98945,-0.014676,6.7516e-25,0,1,0.86,15,0.86,0.5
0.99501,-0.014589,5.6424e-25,0,1,0.87,15,0.87,0.5
1.0006,-0.014503,4.5332e-25,0,1,0.88,15,0.88,0.5
1.0061,-0.014417,3.424e-25,0,1,0.89,15,0.89,0.5
1.0117,-0.01433,2.3149e-25,0,1,0.9,15,0.9,0.5
1.0173,-0.014244,1.2057e-25,0,1,0.91,15,0.91,0.5
1.0228,-0.014157,9.6486e-27,0,1,0.92,15,0.92,0.5
1.0281,-0.01405,-5.8969e-26,0,1,0.93,15,0.93,0.5
1.0329,-0.013906,-5.03e-26,0,1,0.94,15,0.94,0.5
1.0377,-0.013761,-4.1631e-26,0,1,0.95,15,0.95,0.5
1.0425,-0.013616,-3.2963e-26,0,1,0.96,15,0.96,0.5
1.0473,-0.013472,-2.4294e-26,0,1,0.97,15,0.97,0.5
1.0521,-0.013327,-1.5625e-26,0,1,0.98,15,0.98,0.5
1.0569,-0.013182,-6.9564e-27,0,1,0.99,15,0.99,0.5
1.0615,-0.013029,1.7149e-27,0,1,1,15,1,0.5
1.0656,-0.012841,1.0397e-26,0,1,1.01,15,1.01,0.5
